Tiekejas1 11
Pienas 5 6.5
Varske 8 5.59
Grietine 5 9.95
Majonezas 5 4.8
Jogurtas 8 2.6
Pienas 5 6.5
Varske 8 5.59
Grietine 5 9.95
Majonezas 5 4.8
Majonezas 5 4.8
Jogurtas 8 2.6
Tiekejas2 11
Duona 2 9.9
Grietine 3 8.56
Varske 4 7.69
Pienas 1 10
Duona 2 9.9
Grietine 3 8.56
Varske 4 7.69
Pienas 1 10
Duona 2 9.9
Grietine 3 8.56
Varske 4 7.69
Tiekejas3 11
Varske 14 15.36
Grietine 10 15.6
Pienas 10 10.2
Majonezas 11 14.3
Duona 15 16.3
Varske 14 15.36
Grietine 10 15.6
Pienas 10 10.2
Majonezas 11 14.3
Duona 15 16.3
Varske 14 15.36
Tiekejas4 11
Jogurtas 11 5.55
Varske 9 8.63
Pienas 9 5.6
Grietine 14 10.5
Duona 10 9.3
Jogurtas 11 5.55
Varske 9 8.63
Pienas 9 5.6
Grietine 14 10.5
Duona 10 9.3
Jogurtas 11 5.55
Tiekejas5 11
Duona 20 2.65
Pienas 21 4.25
Varske 21 5.25
Grietine 21 2.27
Jogurtas 20 13.54
Duona 20 2.65
Pienas 21 4.25
Varske 21 5.25
Grietine 21 2.27
Jogurtas 20 13.54
Duona 20 2.65
